source_archive,source_path,source_sha256,classification,current_repository_equivalent,proposed_destination,action,conflict_status,reason,dependencies,validation,rollback,approval_needed,decision_id,resolution_status,transition_phase
AZPR-v10.1-final-deliverables.zip,AZPR-autonomous-execution-primed-draft-v10.1-reports.zip,f6c26f3dc745bd9ddba6e47039433bbf0b6687cda64a9b134ce775c4a659c228,REPORT_ONLY,,,DEFER,NONE,Frozen outer delivery member remains at the supplied parent location; do not duplicate it in the repository.,verified nested archive disposition rows,SHA-256 and containing archive manifest,No repository write; remove only task-created extraction after preserving reports.,NO,BASELINE-DISPOSITION,NO_APPROVAL_REQUIRED,H0_PREPARATION
AZPR-v10.1-final-deliverables.zip,AZPR-autonomous-execution-primed-draft-v10.1-reports.zip.sha256,2517c051ee410cd14d0786ae898db467421145896752117159125c7aae217ed3,VERIFICATION_ONLY,,,DEFER,NONE,Frozen outer delivery member remains at the supplied parent location; do not duplicate it in the repository.,human-approved mapping if later integrated,SHA-256 and containing archive manifest,No repository write; remove only task-created extraction after preserving reports.,NO,BASELINE-DISPOSITION,NO_APPROVAL_REQUIRED,H0_PREPARATION
AZPR-v10.1-final-deliverables.zip,AZPR-autonomous-execution-primed-draft-v10.1.zip,618449d73fd921e0fb366c0aed8c9a666b2ead3847e529a6ced9692fe41e2b24,VERIFICATION_ONLY,,,DEFER,NONE,Frozen outer delivery member remains at the supplied parent location; do not duplicate it in the repository.,verified nested archive disposition rows,SHA-256 and containing archive manifest,No repository write; remove only task-created extraction after preserving reports.,NO,BASELINE-DISPOSITION,NO_APPROVAL_REQUIRED,H0_PREPARATION
AZPR-v10.1-final-deliverables.zip,AZPR-autonomous-execution-primed-draft-v10.1.zip.sha256,b13a8fb1d3aa2b2919d7f8aadab30477bbf3d4bf5b0f452493cf06c8ec988d71,VERIFICATION_ONLY,,,DEFER,NONE,Frozen outer delivery member remains at the supplied parent location; do not duplicate it in the repository.,human-approved mapping if later integrated,SHA-256 and containing archive manifest,No repository write; remove only task-created extraction after preserving reports.,NO,BASELINE-DISPOSITION,NO_APPROVAL_REQUIRED,H0_PREPARATION
AZPR-v10.1-final-deliverables.zip,AZPR-v10.1-delivery-manifest.json,2a73fb38db3aa2e05244ea502a0703d14ed205b4b0c157a64d0a939e7b31d635,VERIFICATION_ONLY,,,DEFER,NONE,Frozen outer delivery member remains at the supplied parent location; do not duplicate it in the repository.,human-approved mapping if later integrated,SHA-256 and containing archive manifest,No repository write; remove only task-created extraction after preserving reports.,NO,BASELINE-DISPOSITION,NO_APPROVAL_REQUIRED,H0_PREPARATION
AZPR-v10.1-final-deliverables.zip,AZPR-v10.1-delivery-manifest.json.sha256,c0b1e6cfaa2b8bf89dc701507ecbace4aa5b8ae8f0b802e3da3ca555428d2c41,VERIFICATION_ONLY,,,DEFER,NONE,Frozen outer delivery member remains at the supplied parent location; do not duplicate it in the repository.,human-approved mapping if later integrated,SHA-256 and containing archive manifest,No repository write; remove only task-created extraction after preserving reports.,NO,BASELINE-DISPOSITION,NO_APPROVAL_REQUIRED,H0_PREPARATION
AZPR-v10.1-final-deliverables.zip,AZPR-v10.1-fresh-extraction-verification.json,f95105126defe64fbab809e9b1513af8b02b812a9c5a21fd7691a9cb9d13f60c,VERIFICATION_ONLY,,,DEFER,NONE,Frozen outer delivery member remains at the supplied parent location; do not duplicate it in the repository.,human-approved mapping if later integrated,SHA-256 and containing archive manifest,No repository write; remove only task-created extraction after preserving reports.,NO,BASELINE-DISPOSITION,NO_APPROVAL_REQUIRED,H0_PREPARATION
AZPR-v10.1-final-deliverables.zip,AZPR-v10.1-release-verification-summary.md,7a153dcd7649bafd6aca09b40ffc6cd472635f1769b9231910da2a2612762117,VERIFICATION_ONLY,,,DEFER,NONE,Frozen outer delivery member remains at the supplied parent location; do not duplicate it in the repository.,human-approved mapping if later integrated,SHA-256 and containing archive manifest,No repository write; remove only task-created extraction after preserving reports.,NO,BASELINE-DISPOSITION,NO_APPROVAL_REQUIRED,H0_PREPARATION
AZPR-v10.1-final-deliverables.zip,AZPR-v10.1-release-verification.json,766f94f80227125afd4394ec1fd0a49f987a2e044c4af02c7fd00564f7ddeaba,VERIFICATION_ONLY,,,DEFER,NONE,Frozen outer delivery member remains at the supplied parent location; do not duplicate it in the repository.,human-approved mapping if later integrated,SHA-256 and containing archive manifest,No repository write; remove only task-created extraction after preserving reports.,NO,BASELINE-DISPOSITION,NO_APPROVAL_REQUIRED,H0_PREPARATION
AZPR-v10.1-final-deliverables.zip,AZPR-v10.1-source-tree-verification.json,c4309758b92f6a62d5df04020557ff2cdf7eb12c22ae545ca9d22af12b2c912a,VERIFICATION_ONLY,,,DEFER,NONE,Frozen outer delivery member remains at the supplied parent location; do not duplicate it in the repository.,human-approved mapping if later integrated,SHA-256 and containing archive manifest,No repository write; remove only task-created extraction after preserving reports.,NO,BASELINE-DISPOSITION,NO_APPROVAL_REQUIRED,H0_PREPARATION
AZPR-v10.1-final-deliverables.zip,V10.1-FINAL-VERIFICATION-RECORD.md,ddd3389535f664ad93cb942dbd36dfacb8dd67bba594c2ce7e4d9275a3ff6cae,VERIFICATION_ONLY,,,DEFER,NONE,Frozen outer delivery member remains at the supplied parent location; do not duplicate it in the repository.,human-approved mapping if later integrated,SHA-256 and containing archive manifest,No repository write; remove only task-created extraction after preserving reports.,NO,BASELINE-DISPOSITION,NO_APPROVAL_REQUIRED,H0_PREPARATION
AZPR-v10.1-final-deliverables.zip,markdown-prompts-autonomous-priming-draft-v10.1.zip,3b235cb7e33ca409241ff26523f60f8fee89cec524b3f09e91a69927a0aa4880,REPOSITORY_PROMPT,,,DEFER,NONE,Frozen outer delivery member remains at the supplied parent location; do not duplicate it in the repository.,verified nested archive disposition rows,SHA-256 and containing archive manifest,No repository write; remove only task-created extraction after preserving reports.,NO,BASELINE-DISPOSITION,NO_APPROVAL_REQUIRED,H0_PREPARATION
AZPR-v10.1-final-deliverables.zip,markdown-prompts-autonomous-priming-draft-v10.1.zip.sha256,23a898bb95368ad842a280e4220d9d495932a07b2d34e1c83fd74caa69f7a353,VERIFICATION_ONLY,,,DEFER,NONE,Frozen outer delivery member remains at the supplied parent location; do not duplicate it in the repository.,human-approved mapping if later integrated,SHA-256 and containing archive manifest,No repository write; remove only task-created extraction after preserving reports.,NO,BASELINE-DISPOSITION,NO_APPROVAL_REQUIRED,H0_PREPARATION
AZPR-autonomous-execution-primed-draft-v10.1.zip,CURRENT-DOCUMENT-INDEX.json,76243b1fee34b055c7c2dab28401eecb3a2aeef0b40b0b39c9877b62322ec029,REPORT_ONLY,,,QUARANTINE,NONE,Retain only archive/hash provenance; the implementation-root duplicate is not repository authority.,delivery identity; frozen report-tree copy when applicable,SHA-256 and containing archive manifest,No repository write; remove only task-created extraction after preserving reports.,NO,MAP-PROVENANCE-REFERENCE-ONLY,READY_FOR_APPROVAL,H0_PREPARATION
AZPR-autonomous-execution-primed-draft-v10.1.zip,KNOWN-LIMITATIONS-AND-QUALIFICATION-DEPENDENCIES.md,8e84114e607a61afa8fef48bdd3e907048b362e0f4398a43d90c7f90a04ae605,REPORT_ONLY,,,QUARANTINE,NONE,Retain only archive/hash provenance; the implementation-root duplicate is not repository authority.,delivery identity; frozen report-tree copy when applicable,SHA-256 and containing archive manifest,No repository write; remove only task-created extraction after preserving reports.,NO,MAP-PROVENANCE-REFERENCE-ONLY,READY_FOR_APPROVAL,H0_PREPARATION
AZPR-autonomous-execution-primed-draft-v10.1.zip,MAJOR-CHANGES.md,23407216a60264f3e4b42bb9e9dd5c5eec22a65ee0ee5b48d92d31206d251c01,REPORT_ONLY,,,QUARANTINE,NONE,Retain only archive/hash provenance; the implementation-root duplicate is not repository authority.,delivery identity; frozen report-tree copy when applicable,SHA-256 and containing archive manifest,No repository write; remove only task-created extraction after preserving reports.,NO,MAP-PROVENANCE-REFERENCE-ONLY,READY_FOR_APPROVAL,H0_PREPARATION
AZPR-autonomous-execution-primed-draft-v10.1.zip,README.md,35465084c089a00f4af55b1b7d7e59e59d014b0c557be15c311b1459d6dd4776,REPORT_ONLY,,,QUARANTINE,NONE,Retain only archive/hash provenance; the implementation-root duplicate is not repository authority.,delivery identity; frozen report-tree copy when applicable,SHA-256 and containing archive manifest,No repository write; remove only task-created extraction after preserving reports.,NO,MAP-PROVENANCE-REFERENCE-ONLY,READY_FOR_APPROVAL,H0_PREPARATION
AZPR-autonomous-execution-primed-draft-v10.1.zip,REMEDIATION-STATUS.json,703b9934f0d20eb147621b7871b4b510aaedb96df1c082442c3eaf0174ca23fd,REPORT_ONLY,,,QUARANTINE,NONE,Retain only archive/hash provenance; the implementation-root duplicate is not repository authority.,delivery identity; frozen report-tree copy when applicable,SHA-256 and containing archive manifest,No repository write; remove only task-created extraction after preserving reports.,NO,MAP-PROVENANCE-REFERENCE-ONLY,READY_FOR_APPROVAL,H0_PREPARATION
AZPR-autonomous-execution-primed-draft-v10.1.zip,SECURITY-DECISIONS.md,e2a29719389b66bc745c0cbaea3ab8de163ac2e48f3f225ce2d27556dee3638d,REPORT_ONLY,,,QUARANTINE,NONE,Retain only archive/hash provenance; the implementation-root duplicate is not repository authority.,delivery identity; frozen report-tree copy when applicable,SHA-256 and containing archive manifest,No repository write; remove only task-created extraction after preserving reports.,NO,MAP-PROVENANCE-REFERENCE-ONLY,READY_FOR_APPROVAL,H0_PREPARATION
AZPR-autonomous-execution-primed-draft-v10.1.zip,SHA256SUMS.json,6dc80b6cca5c069fc4aa2abc9acb3c20bb6be3c79c34e6d5d499656907429487,VERIFICATION_ONLY,,,DEFER,NONE,Use only from the isolated extraction for verification; do not add to the application repository without approval.,human-approved mapping if later integrated,SHA-256 and containing archive manifest,No repository write; remove only task-created extraction after preserving reports.,NO,BASELINE-DISPOSITION,NO_APPROVAL_REQUIRED,H0_PREPARATION
AZPR-autonomous-execution-primed-draft-v10.1.zip,V10-ADVERSARIAL-MUTATION-SUBSTITUTION-AND-TEST-CATALOG-REPORT.md,90f33f795d779a503fdc8cbb13b4b567abf473c75c6c1be933d650501e842928,REPORT_ONLY,,,QUARANTINE,NONE,Retain only archive/hash provenance; the implementation-root duplicate is not repository authority.,delivery identity; frozen report-tree copy when applicable,SHA-256 and containing archive manifest,No repository write; remove only task-created extraction after preserving reports.,NO,MAP-PROVENANCE-REFERENCE-ONLY,READY_FOR_APPROVAL,H0_PREPARATION
AZPR-autonomous-execution-primed-draft-v10.1.zip,V10-AFFECTED-FILES-FUNCTIONS-SCHEMAS-AND-MODIFICATION-BOUNDARIES.md,a255c6b4b13cdc5a40151f1590be5d233e39d25a653df757dc913def55720458,REPORT_ONLY,,,QUARANTINE,NONE,Retain only archive/hash provenance; the implementation-root duplicate is not repository authority.,delivery identity; frozen report-tree copy when applicable,SHA-256 and containing archive manifest,No repository write; remove only task-created extraction after preserving reports.,NO,MAP-PROVENANCE-REFERENCE-ONLY,READY_FOR_APPROVAL,H0_PREPARATION
AZPR-autonomous-execution-primed-draft-v10.1.zip,V10-BOOTSTRAP-ROOT-HARDENING-REPORT.md,5ff9d0508f8ff3f2d0fe3a5d12fafbd790a38044bd32df59a5ac7085d011f356,REPORT_ONLY,,,QUARANTINE,NONE,Retain only archive/hash provenance; the implementation-root duplicate is not repository authority.,delivery identity; frozen report-tree copy when applicable,SHA-256 and containing archive manifest,No repository write; remove only task-created extraction after preserving reports.,NO,MAP-PROVENANCE-REFERENCE-ONLY,READY_FOR_APPROVAL,H0_PREPARATION
AZPR-autonomous-execution-primed-draft-v10.1.zip,V10-EVIDENCE-DERIVATION-AND-KEY-LIFECYCLE-INTEGRATION-REPORT.md,0312a3734985c6dce9fea258fb58b0a0d62346e1dd38d0e7b344006c88f49a4f,REPORT_ONLY,,,QUARANTINE,NONE,Retain only archive/hash provenance; the implementation-root duplicate is not repository authority.,delivery identity; frozen report-tree copy when applicable,SHA-256 and containing archive manifest,No repository write; remove only task-created extraction after preserving reports.,NO,MAP-PROVENANCE-REFERENCE-ONLY,READY_FOR_APPROVAL,H0_PREPARATION
AZPR-autonomous-execution-primed-draft-v10.1.zip,V10-FINDING-CLOSURE-MATRIX.md,a3e87dcc920dff1295c1046d239265d0c65802574f165781329cda58fe22610d,REPORT_ONLY,,,QUARANTINE,NONE,Retain only archive/hash provenance; the implementation-root duplicate is not repository authority.,delivery identity; frozen report-tree copy when applicable,SHA-256 and containing archive manifest,No repository write; remove only task-created extraction after preserving reports.,NO,MAP-PROVENANCE-REFERENCE-ONLY,READY_FOR_APPROVAL,H0_PREPARATION
AZPR-autonomous-execution-primed-draft-v10.1.zip,V10-INSTALLER-TRANSACTION-CONCURRENCY-ROLLBACK-FAULT-REGRESSION-REPORT.md,1403f0701f9b9692c729cba75b235eca75a9833ae43ee8f9f3e96b7293dad33e,REPORT_ONLY,,,QUARANTINE,NONE,Retain only archive/hash provenance; the implementation-root duplicate is not repository authority.,delivery identity; frozen report-tree copy when applicable,SHA-256 and containing archive manifest,No repository write; remove only task-created extraction after preserving reports.,NO,MAP-PROVENANCE-REFERENCE-ONLY,READY_FOR_APPROVAL,H0_PREPARATION
AZPR-autonomous-execution-primed-draft-v10.1.zip,V10-NONROOT-RELEASE-VERIFIER-REPORT.md,fe21ba6cffc5d8aa4954dc401ef7be54a51ba0c715067ca071f0c3a25a450414,REPORT_ONLY,,,QUARANTINE,NONE,Retain only archive/hash provenance; the implementation-root duplicate is not repository authority.,delivery identity; frozen report-tree copy when applicable,SHA-256 and containing archive manifest,No repository write; remove only task-created extraction after preserving reports.,NO,MAP-PROVENANCE-REFERENCE-ONLY,READY_FOR_APPROVAL,H0_PREPARATION
AZPR-autonomous-execution-primed-draft-v10.1.zip,V10-PROBE-TRUST-ROOT-AND-EXTERNAL-SIGNING-REPORT.md,5240119a342e5b6c29a43ab1754813ec1afffb58c6004dd3abf00b6f43b4347b,REPORT_ONLY,,,QUARANTINE,NONE,Retain only archive/hash provenance; the implementation-root duplicate is not repository authority.,delivery identity; frozen report-tree copy when applicable,SHA-256 and containing archive manifest,No repository write; remove only task-created extraction after preserving reports.,NO,MAP-PROVENANCE-REFERENCE-ONLY,READY_FOR_APPROVAL,H0_PREPARATION
AZPR-autonomous-execution-primed-draft-v10.1.zip,V10-QUALIFICATION-ARTIFACT-BINDING-MATRIX.md,3cddbcbffde867740dd19e2d401d611c55589b9d636976897feac28b9e3edf83,REPORT_ONLY,,,QUARANTINE,NONE,Retain only archive/hash provenance; the implementation-root duplicate is not repository authority.,delivery identity; frozen report-tree copy when applicable,SHA-256 and containing archive manifest,No repository write; remove only task-created extraction after preserving reports.,NO,MAP-PROVENANCE-REFERENCE-ONLY,READY_FOR_APPROVAL,H0_PREPARATION
AZPR-autonomous-execution-primed-draft-v10.1.zip,V10-QUALIFICATION-HANDOFF.md,5247fa5b8d5c2ec5df187623bfc309fefa569e1bf8cc792609c031f361095049,REPORT_ONLY,,,QUARANTINE,NONE,Retain only archive/hash provenance; the implementation-root duplicate is not repository authority.,delivery identity; frozen report-tree copy when applicable,SHA-256 and containing archive manifest,No repository write; remove only task-created extraction after preserving reports.,NO,MAP-PROVENANCE-REFERENCE-ONLY,READY_FOR_APPROVAL,H0_PREPARATION
